no,part_of_speech,definition,answer
1,conj.,and,und
2,adj.,beautiful,schön
3,adj.,big,groß
4,conj.,but,aber
5,verb,can,kann
6,noun,child,Kind
7,noun,cheese,Käse
8,noun,day,Tag
9,noun,door,Tür
10,prep.,except,außer
11,num.,five,fünf
12,noun,foot,Fuß
13,adj.,free,frei
14,noun,fun,Spaß
15,adj.,good,gut
16,pron.,he,er
17,verb,hear,hören
18,noun,height,Höhe
19,adj.,hot,heiß
20,adv.,how,wie
21,pron.,it,es
22,noun,king,König
23,adv.,only,nur
24,conj.,or,oder
25,prep.,over,Über
26,noun,picture,Bild
27,adj.,red,rot
28,pron.,she,sie
29,adj.,strong,stark
30,adj.,sweet,süß
31,adv.,very,sehr
32,pron.,what,was
