"id","part_of_speech","definition","answer"
"1","verb","discuss","обсуждать"
"2","verb","come to, wake up","очнуться"
"3","verb","risk","рисковать"
"4","noun","performance (speech)","выступление"
"5","verb","be proud","гордиться"
"6","adj.","enigmatic, mysterious","загадочный"
"7","noun","edition","издание"
"8","verb","express once","выразить"
"9","adj.","surrounding","окружающий"
"10","noun","cup","чашка"
"11","noun","consideration","соображение"
"12","noun","fat","жир"
"13","verb","pass (bypass)","миновать"
"14","noun","intention","намерение"
"15","adj.","hot (scorching)","жаркий"
"16","adv.","hot","жарко"
"17","verb","save (continually)","спасать"
"18","noun","bathroom","ванная"
"19","noun","lie","ложь"
"20","verb","withdraw","отходить"
"21","noun","blacksmith","кузнец"
"22","noun","balcony","балкон"
"23","verb","move away (one-time)","запереть"
"24","adj.","field","полевой"
"25","noun","interrogation","допрос"
"26","adj.","suitable","подходящий"
"27","noun","play (theatre)","спектакль"
"28","verb","warn (ongoing)","предупреждать"
"29","adj.","prolonged","длительный"
"30","noun","soil","почва"
"31","noun","legend","легенда"
"32","verb","find after search","отыскать"
"33","verb","turn around (turning around)","оборачиваться"
"34","adv.","urgently","срочно"
"35","adj.","slightest","малейший"
"36","noun","liquid","жидкость"
"37","adj.","receiving","приемный"
"38","verb","embrace","охватить"
"39","verb","thank","благодарить"
"40","verb","sigh (ongoing)","вздыхать"
"41","noun","block","блок"
"42","noun","fatigue","усталость"
"43","verb","draw (ongoing action)","рисовать"
"44","verb","converse","беседовать"
"45","verb","put on (once)","надеть"
"46","","probably","небось"
"47","adv.","hastily","поспешно"
"48","verb","conclude","заключить"
"49","adj.","reliable","надежный"
"50","noun","need (necessity)","нужда"
"51","noun","window (small)","окошко"
"52","verb","hum","гудеть"
"53","noun","plot (of a story)","сюжет"
"54","adj.","decent","приличный"
"55","adj.","general","генеральный"
"56","verb","guess accurately","угадать"
"57","adj.","sly","хитрый"
"58","noun","fragment","осколок"
"59","verb","rush towards","кинуться"
"60","adj.","foolish (silly)","дурацкий"
"61","noun","juice","сок"
"62","adj.","future","будущий"
"63","verb","experience (one-time)","испытать"
"64","adv.","tiredly","устало"
"65","adj.","tired","усталый"
"66","noun","Kremlin","Кремль"
"67","noun","mouse (computer mouse)","мышка"
"68","noun","effect","эффект"
"69","noun","cave","пещера"
"70","verb","blush","покраснеть"
"71","noun","task (colloquial)","зад"
"72","verb","fuss","возиться"
"73","verb","keep","хранить"
"74","adj.","heavenly","небесный"
"75","verb","replace with change","сменить"
"76","verb","lift (lift slightly)","приподнять"
"77","verb","step (take a step)","шагнуть"
"78","noun","rupture","разрыв"
"79","noun","shop","цех"
"80","verb","undertake","браться"
"81","verb","ponder (repeatedly)","задумываться"
"82","noun","sill","подоконник"
"83","adj.","magnificent","великолепный"
"84","noun","rear","тыл"
"85","noun","metal","металл"
"86","verb","be absent","отсутствовать"
"87","noun","fund","фонд"
"88","verb","catch up","догнать"
"89","noun","tank top","майка"
"90","adv.","scaredly","испуганно"
"91","adj.","scared","испуганный"
"92","adv.","half a year","полгода"
"93","verb","spend the night","ночевать"
"94","verb","leave (by vehicle)","выехать"
"95","noun","paradise","рай"
"96","noun","correspondent","корреспондент"
"97","","one","один"
"98","noun","scheme","схема"
"99","noun","quarter","четверть"
"100","noun","nonsense","ерунда"
"101","verb","chew","жевать"
"102","noun","misfortune (great sorrow)","несчастье"
"103","noun","surroundings (environment)","окружение"
"104","noun","female teacher","учительница"
"105","adj.","ancient (long past)","давний"
"106","noun","ancestor","предок"
"107","noun","acid","кислота"
"108","verb","be missing, disappearing","пропадать"
"109","adj.","military (soldier's)","солдатский"
"110","adv.","in vain (futile)","напрасно"
"111","verb","be waking up","просыпаться"
"112","noun","joke (anecdote)","анекдот"
"113","noun","signature","подпись"
"114","noun","rage","гнев"
"115","noun","dormitory","общежитие"
"116","noun","horn","рог"
"117","noun","navigator","штурман"
"118","noun","physics","физика"
"119","verb","cut","резать"
"120","verb","touch (touch once)","тронуть"
"121","num.","tenth","десятый"
"122","adj.","wonderful","чудесный"
"123","verb","be visible","виднеться"
"124","adv.","standing","стоя"
"125","adj.","joint","совместный"
"126","noun","snake","змея"
"127","adv.","nowhere to go","некуда"
"128","noun","monk","монах"
"129","adj.","autumnal","осенний"
"130","noun","industry","промышленность"
"131","noun","picture","картинка"
"132","adv.","quietly (gently quiet)","тихонько"
"133","noun","brook","ручей"
"134","noun","communication","общение"
"135","verb","advise (general)","советовать"
"136","noun","neighbor (female)","соседка"
"137","noun","twig","ветвь"
"138","verb","collapse (fall)","свалиться"
"139","verb","manifest (show once)","проявить"
"140","verb","dare","сметь"
"141","noun","side street","переулок"
"142","adj.","incorrect","неправильный"
"143","verb","do, make","поделать"
"144","verb","push (once)","толкнуть"
"145","","even (emphasis)","аж"
"146","adj.","steel","стальной"
"147","verb","treat (medically)","лечить"
"148","noun","ascent","подъём"
"149","verb","swear","ругаться"
"150","noun","publishing house","издательство"
"151","noun","resistance","сопротивление"
"152","noun","irritation","раздражение"
"153","verb","lay down","уложить"
"154","noun","essay","сочинение"
"155","adv.","upstairs (upward)","наверх"
"156","verb","envy","завидовать"
"157","noun","crackling","треск"
"158","noun","coal","уголь"
"159","verb","clap (repeatedly)","хлопать"
"160","verb","wipe (once)","вытереть"
"161","noun","scale","масштаб"
"162","verb","earn, deserve","заслужить"
"163","noun","stand","стойка"
"164","verb","upset","довести"
"165","noun","assault","нападение"
"166","noun","stove (kitchen)","плита"
"167","noun","beach","пляж"
"168","verb","tremble (be shaking)","трястись"
"169","noun","adolescent","подросток"
"170","verb","be present","присутствовать"
"171","noun","bedroom","спальня"
"172","noun","crew","экипаж"
"173","noun","servant","слуга"
"174","noun","light bulb","лампочка"
"175","adv.","boring","скучно"
"176","adj.","dull (not sharp)","тупой"
"177","noun","kiss","поцелуй"
"178","adj.","respected","уважаемый"
"179","noun","shoe (a woman's shoe)","туфля"
"180","verb","snatch abruptly (once)","вырвать"
"181","noun","button (on clothing)","пуговица"
"182","adj.","champagne","шампанский"
"183","verb","flash (quick, one-time)","мелькнуть"
"184","noun","gratitude","благодарность"
"185","noun","skull","череп"
"186","noun","perspective","перспектива"
"187","adj.","subsequent","последующий"
"188","verb","lean (once)","наклониться"
"189","verb","feel shy","стесняться"
"190","noun","companion","дружок"
"191","verb","transform (make into)","превратить"
"192","verb","take offense","обижаться"
"193","verb","cover (cover completely)","накрыть"
"194","verb","carry (various items)","таскать"
"195","verb","insert","вставить"
"196","noun","scoundrel","гад"
"197","verb","frozen, stiffen","застыть"
"198","noun","play (script)","пьеса"
"199","noun","omen","примета"
"200","verb","pour (overfill)","залить"
"201","adj.","reasonable","разумный"
"202","noun","hay","сено"
"203","adv.","often (not seldom)","нередко"
"204","verb","rush at high speed","мчаться"
"205","adj.","displeased","недовольный"
"206","noun","toy","игрушка"
"207","noun","cost","стоимость"
"208","noun","institution","учреждение"
"209","noun","collar","воротник"
"210","verb","burn (completed action)","сжечь"
"211","verb","fear","опасаться"
"212","noun","backrest","спинка"
"213","noun","check","проверка"
"214","noun","cadet","курсант"
"215","noun","departure","уход"
"216","verb","hold back (oneself)","удержаться"
"217","verb","send (as a message)","подослать"
"218","noun","experiment","эксперимент"
"219","noun","barin (Russian nobleman)","барин"
"220","verb","promise (once)","пообещать"
"221","noun","England","Англия"
"222","verb","fall ill","заболеть"
"223","verb","shake (once)","потрясти"
"224","noun","fall","падение"
"225","num.","ninth","девятый"
"226","verb","turn around (turn regularly)","поворачиваться"
"227","noun","rooster","петух"
"228","verb","keep writing down","записывать"
"229","noun","amateur","любитель"
"230","verb","click","щёлкнуть"
"231","adj.","copper","медный"
"232","adv.","upstairs (at the top)","наверху"
"233","noun","accuracy","точность"
"234","noun","Chechen","чеченец"
"235","adj.","valuable","ценный"
"236","adj.","advanced","передовой"
"237","adv.","tight","тесно"
